안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생,신체위험,차량위험,인당관리비,현장특성
2,2,0,2,5,5,5,4,0,0,1,2,2,5,3,23.08,1,3,1,0.15384612307692308,1
2,2,1,2,4,3,5,4,1,0,1,2,2,4,3,20.0,0,2,1,0.01,1
2,2,1,2,5,4,5,4,0,1,1,3,2,5,4,7.14,0,3,3,0.0005350357142857143,1
2,2,1,2,5,5,5,5,1,1,1,3,2,6,1,4.44,0,3,2,0.0015739888888888888,1
2,1,0,2,4,3,3,4,1,1,1,1,2,5,3,0.0,1,2,3,0.00015222222222222224,1
1,0,0,0,5,4,5,4,0,0,0,1,3,5,7,0.0,1,2,2,0.0007243999999999999,1
1,2,0,2,4,5,4,4,0,0,1,2,2,3,3,33.33,0,4,1,0.00024222222222222223,1
2,1,0,2,2,3,3,3,0,0,1,2,2,2,4,50.0,0,3,3,0.001,1
1,1,0,2,2,3,3,2,0,0,1,2,2,2,3,0.0,0,4,4,0.0056388666666666665,1
2,1,1,2,5,5,5,5,0,1,1,2,2,2,3,0.0,0,2,2,0.0002664942528735632,1
1,2,0,2,4,4,4,4,1,1,1,1,2,3,3,45.45,0,3,1,0.0002431818181818182,1
2,2,1,2,5,5,5,4,1,1,1,2,2,2,4,40.0,1,1,2,0.0006666666666666666,1
2,2,1,2,3,3,4,3,0,0,1,2,2,2,3,76.0,1,2,1,0.000756,1
2,2,1,1,3,2,5,3,1,0,0,2,2,2,4,30.0,0,3,3,0.09999998,1
1,2,0,0,4,4,3,3,1,1,1,1,3,4,4,0.0,0,1,3,0.00042627999999999996,1
2,2,1,2,5,5,5,5,0,0,1,3,1,2,4,0.0,0,3,1,0.00152,1
2,1,0,2,4,4,5,4,0,0,1,2,3,2,4,50.0,0,2,2,0.0026511,1
2,0,0,0,4,4,5,4,0,1,1,1,2,3,4,12.0,0,3,3,0.00036963999999999996,1
2,2,0,2,4,4,4,4,0,0,1,1,2,4,4,0.0,1,3,2,0.9999998,1
2,2,0,2,5,5,5,5,0,1,1,2,2,3,4,11.43,1,2,2,0.0008371428571428572,1
2,2,0,2,4,5,4,4,0,1,1,2,2,6,6,0.0,0,2,2,0.0027908000000000004,1
2,0,1,2,5,4,5,5,0,1,1,1,1,3,6,0.0,0,2,3,0.000187375,2
2,2,0,2,5,4,5,4,0,1,1,2,2,4,3,0.0,1,2,2,0.0004642857142857143,1
1,2,0,2,4,4,5,5,1,1,1,2,2,4,3,26.67,0,4,4,0.0004991333333333333,1
2,0,1,0,4,4,3,4,1,1,0,2,2,6,4,0.0,1,3,1,0.39999992,1
2,2,0,2,4,5,5,5,0,0,1,1,3,1,3,0.0,0,2,3,0.0008831538461538462,1
2,2,0,2,5,5,4,5,0,1,1,2,3,1,3,0.0,0,3,2,0.004378166666666667,1
2,2,1,2,5,5,5,5,0,0,1,3,2,2,3,40.0,1,2,3,0.19999996,1
2,2,0,2,5,5,4,4,0,1,1,2,2,1,3,0.0,0,2,2,0.14583333333333334,1
1,2,0,2,5,4,3,3,0,1,1,2,3,2,3,40.0,0,3,4,0.003260466666666667,1
2,2,0,2,4,4,4,4,1,0,1,2,3,2,3,44.44,0,4,2,0.22222217777777778,1
2,2,1,2,4,5,4,5,0,0,1,1,1,6,1,55.56,1,4,3,0.00011526111111111111,1
1,0,0,0,4,4,4,4,1,1,1,1,2,3,5,0.0,0,2,4,0.0016833333333333333,1
2,2,1,2,4,4,4,4,0,0,1,3,3,1,1,2.22,0,3,4,0.006,1
1,0,0,2,5,5,5,5,1,1,1,1,1,6,3,10.34,0,1,1,0.00033448275862068964,3
2,2,1,2,4,4,4,4,0,0,0,2,3,2,1,30.0,0,4,4,0.000822,1
2,2,0,2,4,4,3,4,1,0,1,2,3,2,1,31.25,0,2,2,0.124999975,1
2,2,0,1,4,4,4,3,0,0,1,2,3,2,3,50.0,0,2,2,0.0005,1
2,1,1,2,3,4,3,3,0,1,1,2,2,3,1,22.86,1,3,3,0.0016824285714285713,1
2,2,0,0,5,5,5,5,0,1,1,2,2,4,3,0.0,1,2,2,0.0009173300000000001,1
2,2,1,2,3,3,4,3,1,1,1,2,2,5,3,20.0,1,2,3,0.00045759333333333333,1
2,1,0,2,3,4,4,4,0,0,0,2,2,1,3,0.0,0,2,3,0.004878100000000001,1
2,2,1,2,4,4,4,3,0,1,1,3,2,5,1,30.0,1,2,2,0.00102,1
1,2,0,2,4,4,4,4,0,0,1,1,2,2,3,66.67,0,2,2,0.00056025,1
2,0,1,2,4,4,4,4,1,1,1,1,1,3,3,50.0,1,2,2,0.000318125,1
2,1,0,2,3,3,3,4,0,1,1,2,2,5,3,10.0,1,2,1,0.00038414,1
1,1,0,0,4,4,4,5,0,1,1,2,2,4,1,8.33,1,2,1,0.0003166666666666667,1
2,1,0,2,5,4,5,4,1,1,0,2,2,3,3,9.09,1,4,1,0.0006880181818181818,1
2,1,0,2,4,5,4,5,1,0,0,3,1,2,6,0.0,0,3,4,0.000175,1
2,1,1,2,5,5,5,4,0,0,0,2,2,2,3,0.0,0,4,4,0.004488590909090909,1
2,1,1,2,5,4,5,5,1,0,0,2,2,2,1,10.0,0,1,2,0.00726013,1
2,1,1,2,4,4,5,5,1,1,1,3,2,2,1,33.04,0,3,4,0.0014782608695652175,1
2,1,1,2,5,5,5,5,1,0,0,3,2,2,1,0.0,0,2,1,0.05333333333333334,1
2,2,1,2,5,5,5,5,0,0,1,2,2,2,4,35.0,1,2,4,0.0032,1
2,2,1,2,5,5,5,4,0,0,1,3,1,1,1,0.0,0,1,3,0.018285714285714287,1
2,2,0,2,5,5,5,5,0,1,1,2,2,3,1,28.57,1,2,1,0.1428571142857143,1
2,2,0,2,5,5,5,5,0,0,0,2,2,1,3,0.0,0,1,1,0.00125,1
2,2,1,2,5,4,5,5,0,1,1,2,1,3,3,18.75,0,2,3,0.0008993812500000001,1
2,2,0,2,5,5,5,5,1,0,1,2,2,2,4,0.0,0,1,4,0.0027083333333333334,1
2,2,0,2,5,4,4,4,0,1,1,2,2,5,4,14.29,1,1,1,0.0004191666666666667,1
2,0,0,2,5,3,5,4,0,1,1,1,2,3,3,35.71,0,2,2,0.0004902142857142858,1
2,1,0,2,3,3,3,3,0,0,0,2,2,1,3,0.0,0,2,3,0.008243125,1
2,2,0,2,4,4,4,4,1,1,1,3,1,3,4,21.43,1,4,4,0.0006611328571428572,1
2,2,0,2,5,5,5,5,0,0,0,2,2,2,3,66.67,0,2,1,0.22222217777777778,1
2,2,1,2,5,5,5,5,0,1,1,2,1,4,1,20.0,0,2,1,0.000608525,1
2,2,0,2,5,5,4,5,0,1,1,2,2,4,1,58.33,0,2,1,0.0008333333333333334,1
2,2,0,2,5,5,4,5,0,1,1,2,1,6,6,0.0,1,1,1,0.0003916666666666667,1
2,2,0,2,5,5,4,5,0,1,1,2,2,2,3,71.43,1,1,1,0.0009257142857142857,1
2,2,0,2,5,5,5,5,0,1,1,3,2,3,1,42.86,1,2,1,0.0008571428571428571,1
2,2,0,2,5,5,5,5,0,0,0,2,2,1,3,0.0,0,2,1,0.00222,1
2,0,0,2,5,3,2,2,0,1,1,2,1,2,3,0.0,0,2,4,0.00115740625,3
1,2,0,2,4,3,4,5,0,1,1,2,1,3,4,10.0,0,2,2,0.0005,1
1,2,0,2,5,5,5,5,1,1,1,2,2,2,3,50.0,0,3,1,0.0017917,2
2,2,1,2,5,5,5,5,0,0,1,3,2,3,3,12.5,1,2,3,0.0015951712500000001,1
2,2,1,2,5,4,4,4,0,1,1,2,2,6,4,4.29,0,2,2,0.00044965714285714284,1
2,2,0,1,4,3,5,3,0,1,1,1,2,3,3,60.0,1,3,3,0.00036,1
2,1,0,2,5,4,5,4,0,1,1,2,2,1,3,9.09,0,2,1,0.0013136363636363638,1
2,2,0,2,5,5,4,5,0,0,0,1,2,2,3,37.5,0,2,1,0.24999995,1
2,2,0,2,5,5,5,5,0,0,0,3,1,1,1,11.11,0,1,1,0.11111108888888889,1
2,2,0,2,5,5,5,5,0,1,1,1,2,1,3,0.0,0,1,1,0.9999998,1
2,2,0,2,5,5,5,5,0,0,0,1,2,1,3,0.0,0,1,1,0.0016666666666666668,1
2,2,0,2,5,5,5,5,0,1,1,2,2,1,3,0.0,1,1,1,1.24999975,1
2,2,1,2,4,4,4,4,0,0,0,3,2,1,1,7.97,0,3,4,0.006060246376811594,1
2,2,0,2,5,5,5,5,0,0,0,2,2,1,4,0.0,0,1,3,0.006741,1
2,2,1,2,4,4,4,3,0,0,0,3,1,1,5,0.0,0,2,4,0.09999998,1
2,2,1,1,5,4,4,3,0,1,1,2,2,2,3,40.0,0,2,4,0.0012268399999999999,1
2,2,1,2,3,4,5,3,0,1,1,2,2,2,1,44.0,1,1,4,0.00154956,1
2,2,1,2,4,4,5,4,0,0,0,3,1,6,5,8.33,1,1,1,0.0013136166666666666,1
2,2,1,2,5,5,5,3,0,0,1,2,2,2,1,33.33,0,1,4,0.0017408888888888888,1
2,2,1,2,4,3,5,4,1,0,1,2,3,4,1,28.0,0,3,4,0.00032114,1
